Example,APRA name,Matching with,Staging name,Staging matched points,SDCtracks total match percent
1,1. SMITH JOHN (3),match (Stg 3),1. T SWIFT (2.5),2.5,
1,2. JOHNSON JACK (3),match (Stg 5),2. JACKSON MICHAEL (3),2,
1,3. SMITH K (2.5),match (Stg 4),3. SMITH P (2.5),2,
1,4. JACKSON (2),match (Stg 2),4. SMITH (2),2,
1,5. SWIFT TAYLOR (3),match (Stg 1),5. JOHNSON J (2.5),2.5,
1,total count = 5,,6. KEANE (2),,
1,ATAP = 13.5 points,,7. BRUNO MARS (3),,
1,,,total count = 7,,
1,,,STAP = 17.5,,TAP = 17.5
1,,,,SMP = 11.0 points,11.0/17.5 = **63**%
2,1. SMITH (2),match (Stg 3),1. T SWIFT (2.5),2,
2,2. JOHNSON (2),match (Stg 5),2. JACKSON MICHAEL (3),2,
2,3. SMITHK (2),no match,3. SMITH P (2.5),2,
2,4. JACKSON (2),match (Stg 2),4. SMITH (2),,
2,5. SWIFT (2),match (Stg 1),5. JOHNSON J (2.5),2,
2,6. KEANE (2),no match,total count = 5,,
2,7. MARS (2),no match,STAP = 12.5,,
2,total count = 7,,,,
2,ATAP = 14 points,,,,TAP = 14
2,,,,SMP = 8 points,8/14 = **57**%
3,1. SMITH P (2.5),match (Stg 3),1. TAYLOR SWIFT (3),3,
3,2. JOHNSON J (2.5),match (Stg 5),2. JACKSON MICHAEL (3),2.5,
3,3. SMITHK (2),no match,3. SMITH P (2.5),3,
3,4. JACKSON M (2.5),match (Stg 2),4. SMITH K (2.5),,
3,5. SWIFT TAYLOR (3),match (Stg 1),5. JOHNSON J (2.5),3,
3,6. KEANE A (2.5),match (Stg 6),6. KEANE (2),2,
3,7. MARS BRUNO (3),match (Stg 7),7. MARS BRUNO (3),3,
3,total count = 7,,total count = 7,,
3,ATAP = 18.0 points,,STAP = 18.5,,TAP = 18.5
3,,,,SMP = 16.5 points,16.5/18.5 = **89**%
